Nom de domaine,Pays BE,Departement BE,Ville BE,Nom BE,Sous domaine,Type du titulaire,Pays titulaire,Departement titulaire,Domaine IDN,Date de crtion,Date de retrait du WHOIS,
08victimes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,31-05-2005,,
1000paysages.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-03-2015,,
100projetspourleclimat.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,19-04-2016,,
2019.semaine-industrie.gouv.fr,,,,,,,,,,,,
24octobre.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,10-10-2012,,
3939.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-06-2007,,
92.accueil-etrangers.gouv.fr,,,,,,,,,,,,
95.accueil-etrangers.gouv.fr,,,,,,,,,,,,
abonnement-presse.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,17-04-2019,,
academie-renseignement.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,11-06-2013,,
acal.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,07-01-2016,,
accessibilite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,12-09-2011,,
accueil-etrangers.gouv.fr,,,,,,,,,,,,
acte-naissance.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,26-09-2005,26-05-2014,
actes-etat-civil.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,29-07-2005,26-05-2014,
action-publique.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,19-11-2012,,
actionsociale.finances.gouv.fr,,,,,,,,,,,,
activitepartielle.emploi.gouv.fr,,,,,,,,,,,,
actualites.relance.gouv.fr,,,,,,,,,,,,
adae.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,25-10-2006,,
addel.cget.gouv.fr,,,,,,,,,,,,
adele.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,19-04-2006,,
ader.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-08-2014,,
admifrance.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,21-06-1996,,
admincarto.datara.gouv.fr,,,,,,,,,,,,
administration-durable.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,18-06-2007,,
administration24h24.gouv.fr,,,,,,,,,,,,
admisource.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,06-01-2005,26-05-2014,
adoption.gouv.fr,,,,,,,,,,,,
adresse.data.gouv.fr,,,,,,,,,,,,
adresse.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,,,,0,25-04-2005,26-05-2014,
afa.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-03-2017,,
aft.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-09-2001,,
agd.data.gouv.fr,,,,,,,,,,,,
agence-francaise-anticorruption.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,24-03-2017,,
agence-regionale-sante.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,17-02-2009,04-01-2018,
agencedunumerique.gouv.fr,,,,,,,,,,,,
agenda-reformes.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,11-12-2014,,
agircontreleharcelementalecole.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,25-11-2011,,
agora.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,28-11-2003,,
agrasc.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-01-2011,,
agreste.agriculture.gouv.fr,,,,,,,,,,,,
agriculture-equipement.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-12-2006,,
agriculture.gouv.fr,,,,,,,,,,,,
agroalimentaire.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,18-02-2013,,
aide-aux-victimes.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,15-03-2016,,
ain.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
aisne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
aisne.pref.gouv.fr,,,,,,,,,,,,
alerte-enlevement.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-02-2006,,
alerte-saip.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,18-05-2016,,
alim-confiance.gouv.fr,,,,,,,,,,,,
alim.agriculture.gouv.fr,,,,,,,,,,,,
alimentation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,31-08-2009,,
alize2.finances.gouv.fr,,,,,,,,,,,,
allier.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
allo119.gouv.fr,,,,,,,,,,,,
alpc.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,08-01-2016,,
alpes-de-haute-provence.gouv.fr,,,,,,,,,,,,
alpes-maritimes.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
alsace-champagne-ardenne-lorraine.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,28-10-2015,,
alsace.gouv.fr,,,,,,,,,,,,
amenagement-numerique.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,13-02-2019,,
amendes.gouv.fr,,,,,,,,,,,,
amia.phm.education.gouv.fr,,,,,,,,,,,,
an2000.gouv.fr,,,,,,,,,,,,
anah.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,13-05-2002,,
anc.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,22-02-2010,,
anlci.gouv.fr,FR,75,PARIS,INFOCLIP,gouv.fr,ORG,FR,69,0,08-10-2001,,
annuaire.gouv.fr,FR,75,PARIS,IP TWINS SAS,gouv.fr,ORG,FR,75,0,13-09-2004,23-09-2016,
anom.archivesnationales.culture.gouv.fr,,,,,,,,,,,,
ansp.gouv.fr,FR,13,AIX EN PROVENCE,HOSTEUR,gouv.fr,,,,0,06-08-2008,14-03-2014,
anssi.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,16-03-2009,,
antai.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,35,0,25-09-2012,,
antibiotique.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,07-11-2018,,
antibiotiques.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-11-2018,,
ants.gouv.fr,,,,,,,,,,,,
apa.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,16-01-2002,15-12-2017,
ape.gouv.fr,FR,59,ROUBAIX,OVH,gouv.fr,ORG,FR,75,0,29-03-2011,,
api-adresse.data.gouv.fr,,,,,,,,,,,,
api.gouv.fr,,,,,,,,,,,,
apiagent.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,22-01-2015,,
apie.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,01-06-2007,,
apientreprise.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,22-01-2015,,
apiparticulier.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,22-01-2015,,
app.dvf.etalab.gouv.fr,,,,,,,,,,,,
appli-alerte-saip.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,08-06-2016,,
appli-saip.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,08-06-2016,,
applications.aefe.diplomatie.gouv.fr,,,,,,,,,,,,
apprentissage.gouv.fr,,,,,,,,,,,,
aquitaine-limousin-poitou-charentes.direccte.gouv.fr,,,,,,,,,,,,
aquitaine-limousin-poitou-charentes.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,28-10-2015,,
aquitaine.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,33,0,16-06-2005,14-08-2018,
aquoiserventmesimpots.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,04-04-2018,,
ara.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,08-01-2016,,
archives-bofip.impots.gouv.fr,,,,,,,,,,,,
